"Estimate Shipping and Tax","Estimate Shipping"
"Gift Registry Type:","Occasion:"
"Gift Registry Type","Occasion"
"Favorites List","Favorites List",
"Favorites List Sharing","Favorites List Sharing"
"My Favorites List","My Favorites List"
"%1's Favorites List","%1's Favorites List"
"We can't add the item to Favorites List right now: %1.","We can't add the item to Favorites List right now: %1."
"We can't add the item to Favorites List right now.","We can't add the item to Favorites List right now."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't load the Favorites List item right now.","We can't load the Favorites List item right now."
"%1 has been moved to your Favorites List.","%1 has been moved to your Favorites List."
"We can't move the item to the Favorites List.","We can't move the item to the Favorites List."
"We can't delete the item from Favorites List right now because of an error: %1.","We can't delete the item from Favorites List right now because of an error: %1."
"We can't delete the item from the Favorites List right now.","We can't delete the item from the Favorites List right now."
"This Favorites List can be shared %1 more times.","This Favorites List can be shared %1 more times."
"Your Favorites List has been shared.","Your Favorites List has been shared."
"We can't delete item from Favorites List right now.","We can't delete item from Favorites List right now."
"Can't update Favorites List","Can't update Favorites List"
"%1 has been updated in your Favorites List.","%1 has been updated in your Favorites List."
"We can't update your Favorites List right now.","We can't update your Favorites List right now."
"The requested Favorites List doesn't exist.","The requested Favorites List doesn't exist."
"We can't create the Favorites List right now.","We can't create the Favorites List right now."
"Display number of items in Favorites List","Display number of items in Favorites List"
"We can't specify a Favorites List.","We can't specify a Favorites List."
"We can't update the Favorites List right now.","We can't update the Favorites List right now."
"We cannot retrieve the Favorites List.","We cannot retrieve the Favorites List."
"%1's Favorites","%1's Favorites"
"We can't specify a Favorites List item.","We can't specify a Favorites List item."
"Share Favorites List","Share Favorites List"
"Add All to Cart","Add All to Cart"
"Update Favorites List","Update Favorites List"
"Move to Favorites","Move to Favorites"
"Add to Favorites List","Add to Favorites List"
"This Favorites List has no Items","This Favorites List has no Items"
"%1 has been added to your Favorites List.","%1 has been added to your Favorites List."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"RSS link to %1's favorites","RSS link to %1's favorites"
"Favorites List is empty now.","Favorites List is empty now."
"Check here to link an RSS feed to your Favorites List.","Check here to link an RSS feed to your Favorites List."
"Go to Favorites List","Go to Favorites List"
"You have no items in your Favorites List.","You have no items in your Favorites List."
"Take a look at %customer_name's Favorites List","Take a look at %customer_name's Favorites List"
"%customer_name wants to share this Favorites List from %store_name with you:","%customer_name wants to share this Favorites List from %store_name with you:"
"Favorites List Section","Favorites List Section"
"Days in Favorites List","Days in Favorites List"
